Fajr Zuhr Asr Maghrib Esha
6.50 1.30 5.00 6.23 8.20
7.00 1.30 4.45 6.21 8.10
7.00 1.30 4.45 6.19 8.10
7.00 1.30 4.45 6.16 8.10
6.40 1.30 5.30 6.42 8.40
6.40 1.30 5.30 6.39 8.40
6.50 1.30 5.00 6.37 8.20
6.50 1.30 5.00 6.35 8.20
6.50 1.30 5.00 6.32 8.20
6.50 1.30 5.00 6.30 8.20
6.50 1.30 5.00 6.28 8.20
6.50 1.30 5.00 6.25 8.20
6.50 1.30 5.00 6.23 8.20
7.00 1.30 4.45 6.21 8.10
7.00 1.30 4.45 6.19 8.10
7.00 1.30 4.45 6.16 8.10
6.40 1.30 5.30 6.44 8.40
6.40 1.30 5.30 6.42 8.40
6.40 1.30 5.30 6.39 8.40
6.50 1.30 5.00 6.37 8.20
6.50 1.30 5.00 6.35 8.20
6.50 1.30 5.00 6.32 8.20
6.50 1.30 5.00 6.30 8.20
6.50 1.30 5.00 6.28 8.20
6.50 1.30 5.00 6.25 8.20
6.50 1.30 5.00 6.23 8.20
7.00 1.30 4.45 6.21 8.10
7.00 1.30 4.45 6.19 8.10
7.00 1.30 4.45 6.16 8.10
6.40 1.30 5.30 6.42 8.40
6.40 1.30 5.30 6.39 8.40
6.50 1.30 5.00 6.37 8.20
6.50 1.30 5.00 6.35 8.20
6.50 1.30 5.00 6.32 8.20
6.50 1.30 5.00 6.30 8.20
6.50 1.30 5.00 6.28 8.20
6.50 1.30 5.00 6.25 8.20
6.50 1.30 5.00 6.23 8.20
7.00 1.30 4.45 6.21 8.10
7.00 1.30 4.45 6.19 8.10
7.00 1.30 4.45 6.16 8.10
